,datetime,trade_code,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn,free_turn,total_shares,mkt_cap,free_float_shares,mkt_freeshares,annualstdevr_100w,dividendyield2,trade_status
65,2003/1/2,000151.SZ,12.02,12.18,11.47,11.57,2694150,31676492.2,-0.53,-4.3802,1.545544,2.5659,2.5659,295980000,3424488600,1.05E+08,1214850000,40.3706,1.9015,1
66,2003/1/2,000153.SZ,21.38,21.38,20.5,20.7,115160,2406419.9,-1.09,-5.0023,1.006596,0.4606,0.4606,65002300,1345547610,2.50E+07,517500000,29.9297,NA,1
67,2003/1/2,000155.SZ,5.8,5.85,5.63,5.75,215410,1234919.7,-0.1,-1.7094,1.011994,0.1657,0.1657,4.70E+08,2702500000,1.30E+08,747500000,32.3584,NA,1
68,2003/1/2,000156.SZ,12.08,12.1,11.59,11.67,224000,2665641.4,-0.41,-3.394,1.006864,0.6222,0.6222,96500000,1126155000,3.60E+07,420120000,28.256,0.6855,1
69,2003/1/2,000157.SZ,8.8,8.85,8.45,8.46,397150,3405053.7,-0.52,-5.7906,2.646657,0.3055,0.3055,3.90E+08,3299400000,1.30E+08,1099800000,36.3548,1.5912,1
70,2003/1/2,000158.SZ,6.26,6.31,6.15,6.16,164100,1021410.7,-0.11,-1.7544,1.019886,0.1641,0.1641,4.00E+08,2.46E+09,1.00E+08,6.16E+08,29.3816,1.6234,1
71,2003/1/2,000159.SZ,7.56,7.7,7.5,7.53,178600,1354237,-0.11,-1.4398,1,0.2551,0.2551,171792300,1293596019,7.00E+07,527100000,41.4184,NA,1
72,2003/1/2,000300.SH,NA,NA,NA,1074.984,NA,NA,-28.657,-2.596587181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2003/1/2,000301.SZ,5.99,6.09,5.9,5.92,468824,2792877.4,-0.09,-1.4975,1.011671,0.3051,0.3051,466656782,2762608149,153656782,909648149.4,34.5635,1.1824,1
74,2003/1/2,000400.SZ,7.62,7.74,7.57,7.6,1111730,8465777.4,-0.07,-0.9126,2.68028,0.5719,0.5719,378272000,2874867200,194400000,1477440000,30.6768,2.6316,1
75,2003/1/2,000401.SZ,4.8,4.86,4.7,4.71,353800,1683540.7,-0.17,-3.4836,2.414018,0.1311,0.1311,881785550,4153209941,269950215,1271465513,29.1725,2.1231,0
76,2003/1/2,000402.SZ,18.99,18.99,18.25,18.25,204542,3779323.9,-0.84,-4.4002,1.630261,0.2945,0.2945,147356400,2689254300,69450000,1267462500,26.3876,0.2341,1
77,2003/1/2,000403.SZ,13.59,13.59,12.9,12.9,353802,4664810,-1.43,-9.9791,2.635769,0.3762,0.3762,211683491,2730717034,94045180,1213182822,34.5823,NA,1
78,2003/1/2,000404.SZ,5.46,5.55,5.37,5.38,301889,1643760.9,-0.19,-3.4111,1.750566,0.3162,0.3162,260853837,1403393643,95486037,513714879.1,29.6751,NA,1
79,2003/1/2,000407.SZ,5.95,6.08,5.8,5.8,134058,790962.4,-0.24,-3.9735,3.400899,0.093,0.1042,239588758,1389614796,128603143,745898229.4,28.7543,NA,1
80,2003/1/2,000408.SZ,8.4,8.6,8.37,8.4,197695,1670636,-0.1,-1.1765,1.90982,0.4855,0.4855,114720000,963648000,40716000,342014400,34.7229,0.2381,1
81,2003/1/2,000409.SZ,7.7,8.1,7.66,7.87,652889,5177412.1,0.04,0.5109,1.989994,0.8673,0.8673,171374148,1348714545,75276471,592425826.8,41.272,NA,1
82,2003/1/2,000410.SZ,5.53,5.57,5.41,5.49,577859,3168909.1,-0.06,-1.0811,1.345352,0.4269,0.4269,340919303,1871646973,135372800,743196672,32.0829,NA,1
83,2003/1/2,000411.SZ,7.51,7.62,7.38,7.4,206450,1540927,-0.16,-2.1164,1.100741,0.6548,0.6548,115249970,852849778,31530730,233327402,43.6048,NA,1
84,2003/1/2,000413.SZ,7.1,7.2,7.03,7.06,144079,1024580.4,-0.11,-1.5342,1.016529,0.3195,0.3195,3.83E+08,2703980000,45089500,318331870,30.3083,NA,1
85,2003/1/2,000415.SZ,6.9,6.95,6.8,6.81,288132,1973810.9,-0.12,-1.7316,4.532773,0.3003,0.3003,233179996,1587955773,95957543,653470867.8,39.4267,0.2937,1
86,2003/1/2,000416.SZ,16.1,16.1,15.84,15.92,49160,784833,-0.23,-1.4241,3.601544,0.0355,0.0355,251230697,3999592696,138317886,2202020745,36.9317,0.5258,1
87,2003/1/2,000417.SZ,8.03,8.08,7.88,7.9,171645,1362475.6,-0.15,-1.8634,1.808371,0.3617,0.3617,131416503,1038190374,47455198,374896064.2,24.2026,0.9737,1
88,2003/1/2,000418.SZ,12.2,12.33,11.7,11.8,440340,5276373.5,-0.82,-6.4976,1.302796,0.6116,0.6116,365103840,4308225312,7.20E+07,849600000,29.2965,0.1186,1
